Sede,Servicio,Subclas,Subclas2,Concepto,Ago,Jul
CDMX,Congelación y Almacenamiento de Gametos,Almacenamiento,,(Ex) Mensualidad criopreservación óvulos y/o embriones,4862.070000000001,1758.62
CDMX,Congelación y Almacenamiento de Gametos,Almacenamiento,,Almacenamiento de gametos 1 año,472629.01999999996,413792.88999999996
CDMX,Congelación y Almacenamiento de Gametos,Almacenamiento,,Almacenamiento de gametos 5 años,392672.3300000001,310344.78
CDMX,Congelación y Almacenamiento de Gametos,Almacenamiento,,[EX] Anualidad Criopreservación de  Embriones,0.0,4310.34
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,(EX) EmbryoScope Kit,6896.55,6896.56
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de embriones CDMX,165517.24,0.0
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de semen (por depósito) CDMX,4525.86,4310.34
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de semen (por depósito) CDMX - GDL - MET,25862.07,21551.940000000002
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de óvulos CDMX,555818.97,765301.73
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,Desvitrificación,0.0,8620.69
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,Desvitrificación (4 cryotops),40474.14,0.0
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,EmbryoScope Kit Interno,17241.38,36637.93000000001
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,Vitrificación de óvulos/embriones - CDMX,16982.76,0.0
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,[EX] Captura+ Vitrificacion de ovocitos CDMX,160258.95,162963.88
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,[EX] Desvitrificación CDMX,21340.989999999998,7931.03
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",21120.69,0.0
CDMX,Congelación y Almacenamiento de Gametos,Congelación,,[EX] Vitrificación,84074.6,77198.27000000002
CDMX,Consultas,Check up Ginecologico,,Check up ginecologico,16211.199999999999,19396.539999999997
CDMX,Consultas,Check up Integral,,check up integral,6034.48,0.0
CDMX,Consultas,Check-up SOP,,Consulta primera vez SOP,1551.72,3103.44
CDMX,Consultas,Colocación DIU,,Colocacion DIU Mirena [Consultorio],0.0,6465.52
CDMX,Consultas,Colocación DIU,,Colocacion DIU PLATA,0.0,3017.24
CDMX,Consultas,Consulta de Primera Vez IP's,,Cita primera vez IPS,8620.699999999999,2586.21
CDMX,Consultas,Consulta primera vez,,Consulta de primera vez,76896.46000000002,43319.32
CDMX,Consultas,Fertility Check up Hombres,,Check up Fertilidad Hombres,2155.17,1616.38
CDMX,Consultas,Fertility Check up Hombres,,Check up Fertilidad Hombres GDL,8362.060000000001,2155.17
CDMX,Consultas,Fertility Check up Mujeres,,Check up Fertilidad Mujeres,60575.81,67991.32
CDMX,Consultas,Fertility Check up Parejas,,Check up Fertilidad Parejas,45258.599999999984,50172.38999999999
CDMX,Consultas,Platica de resultado,,Consulta subsecuente,0.0,2844.8199999999997
CDMX,Consultas,Uso de Consultorio,,Uso de consultorio1hr con US,560.34,1120.68
CDMX,Farmacia,,,ASPIRINA PROTEC 100MG 28 TAB,10771.2,15091.2
CDMX,Farmacia,,,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),56952.0,64071.0
CDMX,Farmacia,,,Ceftriaxona,300.0,0.0
