Sede,Concepto,MesNum,Ingresos,Atenciones,Uds
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,1,517.24,1,1
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,2,0.0,0,0
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,3,3620.69,2,7
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,4,6724.14,4,13
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,5,1034.48,2,2
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,6,2068.96,2,4
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,7,1758.62,2,4
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,8,4862.07,2,10
CDMX,Almacenamiento de gametos 1 año,1,0.0,0,0
CDMX,Almacenamiento de gametos 1 año,2,0.0,0,0
CDMX,Almacenamiento de gametos 1 año,3,0.0,0,0
CDMX,Almacenamiento de gametos 1 año,4,54310.31,10,11
CDMX,Almacenamiento de gametos 1 año,5,231896.37,52,53
CDMX,Almacenamiento de gametos 1 año,6,249223.95,50,50
CDMX,Almacenamiento de gametos 1 año,7,413792.89,75,78
CDMX,Almacenamiento de gametos 1 año,8,472629.02,91,93
CDMX,Almacenamiento de gametos 5 años,1,0.0,0,0
CDMX,Almacenamiento de gametos 5 años,2,0.0,0,0
CDMX,Almacenamiento de gametos 5 años,3,0.0,0,0
CDMX,Almacenamiento de gametos 5 años,4,141465.49,10,10
CDMX,Almacenamiento de gametos 5 años,5,374999.88,29,34
CDMX,Almacenamiento de gametos 5 años,6,374999.89,27,27
CDMX,Almacenamiento de gametos 5 años,7,310344.78,21,21
CDMX,Almacenamiento de gametos 5 años,8,392672.33,34,35
CDMX,[EX] Anualidad Criopreservación de  Embriones,1,0.0,0,0
CDMX,[EX] Anualidad Criopreservación de  Embriones,2,0.0,0,0
CDMX,[EX] Anualidad Criopreservación de  Embriones,3,0.0,0,0
CDMX,[EX] Anualidad Criopreservación de  Embriones,4,0.0,0,0
CDMX,[EX] Anualidad Criopreservación de  Embriones,5,0.0,0,0
CDMX,[EX] Anualidad Criopreservación de  Embriones,6,0.0,0,0
CDMX,[EX] Anualidad Criopreservación de  Embriones,7,4310.34,1,1
CDMX,[EX] Anualidad Criopreservación de  Embriones,8,0.0,0,0
CDMX,(EX) EmbryoScope Kit,1,0.0,0,0
CDMX,(EX) EmbryoScope Kit,2,0.0,0,0
CDMX,(EX) EmbryoScope Kit,3,0.0,0,0
CDMX,(EX) EmbryoScope Kit,4,0.0,0,0
CDMX,(EX) EmbryoScope Kit,5,10344.83,2,2
CDMX,(EX) EmbryoScope Kit,6,10344.84,3,3
CDMX,(EX) EmbryoScope Kit,7,6896.56,2,2
CDMX,(EX) EmbryoScope Kit,8,6896.55,2,2
CDMX,Congelamiento de embriones CDMX,1,881031.1,10,10
CDMX,Congelamiento de embriones CDMX,2,750172.36,9,9
CDMX,Congelamiento de embriones CDMX,3,405603.46,4,4
CDMX,Congelamiento de embriones CDMX,4,462500.74,6,6
CDMX,Congelamiento de embriones CDMX,5,223275.87,2,2
CDMX,Congelamiento de embriones CDMX,6,98275.86,1,1
CDMX,Congelamiento de embriones CDMX,7,0.0,0,0
CDMX,Congelamiento de embriones CDMX,8,165517.24,2,2
CDMX,Congelamiento de semen (por depósito) CDMX,1,0.0,0,0
CDMX,Congelamiento de semen (por depósito) CDMX,2,0.0,0,0
CDMX,Congelamiento de semen (por depósito) CDMX,3,4310.34,1,1
CDMX,Congelamiento de semen (por depósito) CDMX,4,0.0,0,0
CDMX,Congelamiento de semen (por depósito) CDMX,5,0.0,0,0
CDMX,Congelamiento de semen (por depósito) CDMX,6,0.0,0,0
CDMX,Congelamiento de semen (por depósito) CDMX,7,4310.34,1,1
CDMX,Congelamiento de semen (por depósito) CDMX,8,4525.86,1,1
CDMX,Congelamiento de semen (por depósito) CDMX - GDL - MET,1,20689.65,2,5
CDMX,Congelamiento de semen (por depósito) CDMX - GDL - MET,2,30172.39,6,7
CDMX,Congelamiento de semen (por depósito) CDMX - GDL - MET,3,91810.26,20,22
CDMX,Congelamiento de semen (por depósito) CDMX - GDL - MET,4,8620.68,2,2
CDMX,Congelamiento de semen (por depósito) CDMX - GDL - MET,5,0.0,0,0
CDMX,Congelamiento de semen (por depósito) CDMX - GDL - MET,6,16810.33,4,4
CDMX,Congelamiento de semen (por depósito) CDMX - GDL - MET,7,21551.94,4,5
CDMX,Congelamiento de semen (por depósito) CDMX - GDL - MET,8,25862.07,7,7
CDMX,Congelamiento de óvulos CDMX,1,256035.07,4,4
CDMX,Congelamiento de óvulos CDMX,2,279741.39,4,4
CDMX,Congelamiento de óvulos CDMX,3,271336.21,4,4
CDMX,Congelamiento de óvulos CDMX,4,609913.81,9,9
CDMX,Congelamiento de óvulos CDMX,5,1348922.38,20,20
CDMX,Congelamiento de óvulos CDMX,6,993318.95,15,15
CDMX,Congelamiento de óvulos CDMX,7,765301.73,12,12
CDMX,Congelamiento de óvulos CDMX,8,555818.97,8,8
CDMX,Desvitrificación,1,0.0,0,0
CDMX,Desvitrificación,2,0.0,0,0
CDMX,Desvitrificación,3,8620.69,1,1
CDMX,Desvitrificación,4,8620.69,1,1
CDMX,Desvitrificación,5,0.0,0,0
CDMX,Desvitrificación,6,6896.55,1,1
CDMX,Desvitrificación,7,8620.69,1,1
CDMX,Desvitrificación,8,0.0,0,0
CDMX,Desvitrificación (4 cryotops),1,78924.57,6,6
CDMX,Desvitrificación (4 cryotops),2,26982.76,2,2
CDMX,Desvitrificación (4 cryotops),3,25633.62,2,2
CDMX,Desvitrificación (4 cryotops),4,13491.38,1,1
CDMX,Desvitrificación (4 cryotops),5,13491.38,1,1
CDMX,Desvitrificación (4 cryotops),6,13491.38,1,1
CDMX,Desvitrificación (4 cryotops),7,0.0,0,0
CDMX,Desvitrificación (4 cryotops),8,40474.14,3,3
CDMX,EmbryoScope Kit Interno,1,0.0,0,0
CDMX,EmbryoScope Kit Interno,2,0.0,0,0
CDMX,EmbryoScope Kit Interno,3,0.0,0,0
CDMX,EmbryoScope Kit Interno,4,0.0,0,0
CDMX,EmbryoScope Kit Interno,5,17241.38,2,2
CDMX,EmbryoScope Kit Interno,6,25862.07,3,3
CDMX,EmbryoScope Kit Interno,7,36637.93,5,5
CDMX,EmbryoScope Kit Interno,8,17241.38,4,4
CDMX,Vitrificación de óvulos/embriones - CDMX,1,48400.86,3,3
CDMX,Vitrificación de óvulos/embriones - CDMX,2,16982.76,2,2
CDMX,Vitrificación de óvulos/embriones - CDMX,3,0.0,0,0
CDMX,Vitrificación de óvulos/embriones - CDMX,4,16982.76,1,1
CDMX,Vitrificación de óvulos/embriones - CDMX,5,0.0,0,0
CDMX,Vitrificación de óvulos/embriones - CDMX,6,0.0,0,0
CDMX,Vitrificación de óvulos/embriones - CDMX,7,0.0,0,0
CDMX,Vitrificación de óvulos/embriones - CDMX,8,16982.76,1,1
CDMX,[EX] Captura+ Vitrificacion de ovocitos CDMX,1,74181.06,3,3
CDMX,[EX] Captura+ Vitrificacion de ovocitos CDMX,2,340279.85,14,14
CDMX,[EX] Captura+ Vitrificacion de ovocitos CDMX,3,135788.52,6,6
CDMX,[EX] Captura+ Vitrificacion de ovocitos CDMX,4,195054.05,8,8
CDMX,[EX] Captura+ Vitrificacion de ovocitos CDMX,5,166454.22,7,7
CDMX,[EX] Captura+ Vitrificacion de ovocitos CDMX,6,325894.93,13,13
CDMX,[EX] Captura+ Vitrificacion de ovocitos CDMX,7,162963.88,7,7
CDMX,[EX] Captura+ Vitrificacion de ovocitos CDMX,8,160258.95,8,8
CDMX,[EX] Desvitrificación CDMX,1,18913.79,3,3
CDMX,[EX] Desvitrificación CDMX,2,36836.2,5,5
