Sede,Concepto,Profesional Historia,Ingresos,Atenciones,Uds
CDMX,(EX) EmbryoScope Kit,Jose Juan Guerrero Vargas,3448.28,1,1
CDMX,(EX) EmbryoScope Kit,Lilia Berenice Leyva Macias,10344.83,2,2
CDMX,(EX) EmbryoScope Kit,Monica Olavarria,13793.11,3,3
CDMX,(EX) EmbryoScope Kit,Monica Yazmin Olavarria Guadarrama,3448.28,1,1
CDMX,(EX) EmbryoScope Kit,Oliver Paul Cruz Orozco,0.0,1,1
CDMX,(EX) EmbryoScope Kit,Perla del Rocio Baca Olivoo,3448.28,1,1
CDMX,(EX) Fertilización PICSI / Microfluidos,Giovanni López Salamanca,3017.24,1,1
CDMX,(EX) Fertilización PICSI / Microfluidos,Jaime Antonio Hidalgo Carrera,12068.96,4,4
CDMX,(EX) Fertilización PICSI / Microfluidos,Jairo Hernando Pedraza Pinto,2068.97,1,1
CDMX,(EX) Gonal-F Pen 2.0 900IU,María Elena González Panzzi,20600.0,1,2
CDMX,(EX) Merapur 75 UI (Por caja),María Elena González Panzzi,5400.0,2,2
CDMX,(EX) Ovidrel F-Pen 250MCG,María Elena González Panzzi,3160.0,1,2
CDMX,(EX) REKOVELLE SOL FOR INJ 12MCG/0.36ML CON 3 AGUJA,Claudia Melina Robellada Zarate,2500.0,1,1
CDMX,(EX) REKOVELLE SOL FOR INJ 72MCG/2.16ML CON 9 AGUJA,Alejandro Sanchez Aranda,14000.0,1,1
CDMX,(Ex) Anualidad criopreservación óvulos y/o embriones,Edna Amaro,4310.34,1,1
CDMX,(Ex) Anualidad criopreservación óvulos y/o embriones,Maria Victoria Marchese,4310.34,1,1
CDMX,(Ex) Desvitrificación + transferencia,Fabian Ricardo Castañeda Bochm,12801.72,1,1
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,Alejandro Kava Braveman,3620.69,3,7
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,Daniel Pascal Ponton,1448.28,2,4
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,Eugenia Morán Orozco,517.24,1,1
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,Fabiola del Carmen Brito Sandoval,1551.72,1,3
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,Griselda Reyes Torres,2068.96,2,4
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,Jorge Alberto Campos Cañas,2586.21,2,5
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,José Manuel Lozano Sánchez,3620.69,2,7
CDMX,(Ex) Mensualidad criopreservación óvulos y/o embriones,Ruben Tlapanco Vargas,5172.41,2,10
CDMX,15 Óvulos Garantizados / 15 Eggs Guaranteed CDMX,Armando Miguel Roque Sanchez,198275.86,2,2
CDMX,17 Hidroxiprogesterona,Monica Olavarria,1896.56,2,2
CDMX,20 Óvulos Garantizados / 20 Eggs Guaranteed CDMX,Alma Victoria Villarreal Barranca,232758.62,2,2
CDMX,20 Óvulos Garantizados / 20 Eggs Guaranteed CDMX,Eugenia Morán Orozco,116379.31,1,1
CDMX,20 Óvulos Garantizados / 20 Eggs Guaranteed CDMX,Jaime Antonio Hidalgo Carrera,54956.9,1,1
CDMX,5 años almacenamiento,Eugenia Morán Orozco,12931.03,1,1
CDMX,5 años almacenamiento Embrion,Eugenia Morán Orozco,12931.03,1,1
CDMX,5 años almacenamiento Embriones,Giovanni López Salamanca,12931.03,1,1
CDMX,5 años almacenamiento Esperma,Giovanni López Salamanca,12931.03,1,1
CDMX,5 años almacenamiento Esperma,Jaime Antonio Hidalgo Carrera,12931.03,1,1
CDMX,5 años almacenamiento Esperma,José Alfonso Gutiérrez Frusch,12931.03,1,1
CDMX,5 años almacenamiento Óvulos,Andrea Andrade Rodríguez,12931.03,1,1
CDMX,5 años almacenamiento Óvulos,Eugenia Morán Orozco,64655.15,5,5
CDMX,5 años almacenamiento Óvulos,Giovanni López Salamanca,25862.06,2,2
CDMX,5 años almacenamiento Óvulos,Griselda Reyes Torres,12931.03,1,1
CDMX,5 años almacenamiento Óvulos,Jairo Hernando Pedraza Pinto,12931.03,1,1
CDMX,5 años almacenamiento Óvulos,José Alfonso Gutiérrez Frusch,12931.03,1,1
CDMX,5 años almacenamiento Óvulos,Mayella Fernández del Campo,25862.06,2,2
CDMX,5 años almacenamiento Óvulos,Miguel Ángel Martínez Enríquez,12931.03,1,1
CDMX,5 años almacenamiento Óvulos / Embrion,Alejandro Kava Braveman,25862.06,2,2
CDMX,5 años almacenamiento Óvulos / Embrion,Alejandro Sanchez Aranda,25862.06,2,2
CDMX,5 años almacenamiento Óvulos / Embrion,Armando Miguel Roque Sanchez,12931.03,1,1
CDMX,5 años almacenamiento Óvulos / Embrion,Eugenia Morán Orozco,51724.12,4,4
CDMX,5 años almacenamiento Óvulos / Embrion,Eva Bonifacio Leon,77585.41,6,6
CDMX,5 años almacenamiento Óvulos / Embrion,Fabiola Gallardo Gómez,12931.03,1,1
CDMX,5 años almacenamiento Óvulos / Embrion,Giovanni López Salamanca,51724.12,4,4
CDMX,5 años almacenamiento Óvulos / Embrion,Jaime Antonio Hidalgo Carrera,12931.03,1,1
CDMX,5 años almacenamiento Óvulos / Embrion,Jairo Hernando Pedraza Pinto,12931.03,1,1
CDMX,5 años almacenamiento Óvulos / Embrion,José Alfonso Gutiérrez Frusch,232758.54,18,18
CDMX,5 años almacenamiento Óvulos / Embrion,Maria Victoria Marchese,25862.06,2,2
CDMX,5 años almacenamiento Óvulos / Embrion,María de los Ángeles Flores Manzur,12931.03,1,1
CDMX,5 años almacenamiento Óvulos / Embrion,Mayella Fernández del Campo,38793.09,3,3
CDMX,5 años almacenamiento Óvulos / Embrion,Ruben Gonzalez Ruiz,25862.07,1,2
CDMX,ADN Fetal - Panorama Básico,Eugenia Morán Orozco,60172.4,4,4
CDMX,ADN Fetal - Panorama Básico,Giovanni López Salamanca,30086.2,2,2
CDMX,ADN Fetal - Panorama Básico,Jairo Hernando Pedraza Pinto,15043.1,1,1
CDMX,ADN Fetal - Panorama Extendido,Giovanni López Salamanca,19181.03,2,2
CDMX,AMH (Nanogramos),Alejandro Sanchez Aranda,3017.24,2,2
CDMX,AMH (Nanogramos),Armando Miguel Roque Sanchez,0.0,5,5
