Sede,Servicio,Concepto,Valor,VsLM
CDMX,Congelación y Almacenamiento de Gametos,Congelamiento de óvulos CDMX,555818.97,-27.0
CDMX,Congelación y Almacenamiento de Gametos,Almacenamiento de gametos 1 año,472629.02,14.0
CDMX,Congelación y Almacenamiento de Gametos,Almacenamiento de gametos 5 años,392672.33,27.0
CDMX,Congelación y Almacenamiento de Gametos,Congelamiento de embriones CDMX,165517.24,
CDMX,Congelación y Almacenamiento de Gametos,[EX] Captura+ Vitrificacion de ovocitos CDMX,160258.95,-2.0
CDMX,Congelación y Almacenamiento de Gametos,[EX] Vitrificación,84074.6,9.0
CDMX,Congelación y Almacenamiento de Gametos,Desvitrificación (4 cryotops),40474.14,
CDMX,Congelación y Almacenamiento de Gametos,Congelamiento de semen (por depósito) CDMX - GDL - MET,25862.07,20.0
CDMX,Congelación y Almacenamiento de Gametos,[EX] Desvitrificación CDMX,21340.99,169.0
CDMX,Congelación y Almacenamiento de Gametos,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",21120.69,
CDMX,Congelación y Almacenamiento de Gametos,EmbryoScope Kit Interno,17241.38,-53.0
CDMX,Congelación y Almacenamiento de Gametos,Vitrificación de óvulos/embriones - CDMX,16982.76,
CDMX,Congelación y Almacenamiento de Gametos,(EX) EmbryoScope Kit,6896.55,0.0
CDMX,Congelación y Almacenamiento de Gametos,(Ex) Mensualidad criopreservación óvulos y/o embriones,4862.07,176.0
CDMX,Congelación y Almacenamiento de Gametos,Congelamiento de semen (por depósito) CDMX,4525.86,5.0
CDMX,Congelación y Almacenamiento de Gametos,Desvitrificación,0.0,-100.0
CDMX,Congelación y Almacenamiento de Gametos,[EX] Anualidad Criopreservación de  Embriones,0.0,-100.0
CDMX,Consultas,Consulta de primera vez,76896.46,78.0
CDMX,Consultas,Check up Fertilidad Mujeres,60575.81,-11.0
CDMX,Consultas,Check up Fertilidad Parejas,45258.6,-10.0
CDMX,Consultas,Check up ginecologico,16211.2,-16.0
CDMX,Consultas,Cita primera vez IPS,8620.7,233.0
CDMX,Consultas,Check up Fertilidad Hombres GDL,8362.06,288.0
CDMX,Consultas,check up integral,6034.48,
CDMX,Consultas,Check up Fertilidad Hombres,2155.17,33.0
CDMX,Consultas,Consulta primera vez SOP,1551.72,-50.0
CDMX,Consultas,Uso de consultorio1hr con US,560.34,-50.0
CDMX,Consultas,Colocacion DIU Mirena [Consultorio],0.0,-100.0
CDMX,Consultas,Colocacion DIU PLATA,0.0,-100.0
CDMX,Consultas,Consulta subsecuente,0.0,-100.0
CDMX,Farmacia,GONAL-F PEN2.0 - 900IU,516243.0,19.0
CDMX,Farmacia,PERGOVERIS PEN 900/450IU,480861.0,-21.0
CDMX,Farmacia,Merapur 75 UI (por ampolla),378089.8,21.0
CDMX,Farmacia,PRIMOGYN 2 MG C/28 GRAG,240700.0,-5.0
CDMX,Farmacia,Cetrotide 0.25mg,231368.48,-5.0
CDMX,Farmacia,UTROGESTAN 200 MG 14 CÁPSULAS,167216.0,-3.0
CDMX,Farmacia,OVIDREL F-PEN 250MCG - PLUMAS,85634.0,22.0
CDMX,Farmacia,GONAL-F PEN2.0 - 300IU,82500.0,-11.0
CDMX,Farmacia,PERGOVERIS PEN 450/225IU,57104.0,129.0
CDMX,Farmacia,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),56952.0,-11.0
CDMX,Farmacia,Gonapeptyl Daily 0.1 (por ampolla),33062.4,-18.0
CDMX,Farmacia,REKOVELLE SOL FOR INJ 36MCG/1.08ML CON 6 AGUJA,19696.0,-33.0
CDMX,Farmacia,REKOVELLE SOL FOR INJ 72MCG/2.16ML CON 9 AGUJA,18300.0,-75.0
CDMX,Farmacia,SUPLEMENTO - FORCELL MEN,14172.0,500.0
CDMX,Farmacia,Letz 2.5mg,12704.0,429.0
CDMX,Farmacia,ASPIRINA PROTEC 100MG 28 TAB,10771.2,-29.0
CDMX,Farmacia,SUPLEMENTO - FORCELL DUO,7849.14,131.0
CDMX,Farmacia,OESTROGEL .0.06 / 100 G (ESTRADIOL EN GEL),4500.0,-67.0
CDMX,Farmacia,SUPLEMENTO - FORCELL FEM,4475.0,25.0
CDMX,Farmacia,DUPHASTON 10 MG 20 TAB,2250.0,0.0
